Niveau,Spécialité,Section,Jours,Créneaux,Module,Type,Groupe,Salle,Bloc,Prof
M2,SSI,A,Jeudi,11:20-12:50,MODELISATION,TD,2,406,400,HAMMAL
M2,SSI,A,Jeudi,13:00-14:30,MPOD,TP,2,TP122,Fac Info,MEKLICHE
M2,BIO-INFO,A,Dimanche,08:00-09:30,MCA,Cours,0,C6,Nouveau Bloc,GHARBI
M2,BIO-INFO,A,Dimanche,09:40-11:10,ANG,TD,1,,LABO LANG,ZANOUN
M2,BIO-INFO,A,Dimanche,11:20-12:50,MCA,TD,1,R3,Nouveau Bloc,GHARBI
M2,BIO-INFO,A,Lundi,08:00-09:30,SystEmb,Cours,0,113,100,GUEBLI
M2,BIO-INFO,A,Lundi,09:40-11:10,SystEmb,TD,1,405,400,GUEBLI
M2,BIO-INFO,A,Lundi,11:20-12:50,CalPar-Arch,TD,1,459,400,MEHDI
M2,BIO-INFO,A,Lundi,13:00-14:30,CalPar-Arch,TP,1,C3A,Nouveau Bloc,MEHDI
M2,BIO-INFO,A,Mardi,08:00-09:30,RéalitéVirt,TP,1,TP C4,Nouveau Bloc,OURAHMOUNE
M2,BIO-INFO,A,Mardi,09:40-11:10,RéalitéVirt,Cours,0,D4,Nouveau Bloc,OURAHMOUNE
M2,BIO-INFO,A,Mardi,11:20-12:50,FD,Cours,0,D4,Nouveau Bloc,BABA ALI
M2,BIO-INFO,A,Mardi,13:00-14:30,FD,TP,1,C3A,Nouveau Bloc,BABA ALI
M2,BIO-INFO,A,Mardi,14:40-16:10,FD,TD,1,C3A,Nouveau Bloc,BABA ALI
M2,BIO-INFO,A,Jeudi,08:00-09:30,Bio,Cours,0,103,100,EL NAGGER
M2,BIO-INFO,A,Jeudi,09:40-11:10,CalPar-Arch,Cours,0,320,300,MEHDI
M2,BIO-INFO,A,Jeudi,11:20-12:50,SystEmb,TP,1,TP127,Fac Info,UNKNOWN
M2,BIO-INFO,A,Jeudi,13:00-14:30,Bio,TP,1,TP132,Fac Info,EL NAGGER
